STO-log-disabled,STO-log-enabled_replay,STO-log-enabled_serialize,replay_load_time_in_sec,replay_processing_time_in_sec,thread_count
94647.657395,8548651.222222222,64766.652509,5.130169,7.358536,1
152709.67651,10435773.384615384,111563.493578,9.18666,12.19723,2
215022.968902,10134297.842105264,159022.953472,13.263406,17.844631,3
275955.330257,10528115.47826087,199270.986593,16.368696,22.009564,4
330499.791387,10689683.82142857,246397.162649,20.748947,27.135822,5
394496.877961,10551152.714285715,304416.613298,20.229415,27.176336,6
447713.001076,11424059.542857142,328567.070602,29.658017,34.028331,7
504388.356145,9977463.766666668,243394.665293,20.784585,29.47258,8
513946.313618,10007974.48275862,299028.60487,20.217156,27.946486,9
514497.54615,10878194.714285715,246720.124685,20.474533,27.25601,10
548457.839301,11410697.153846154,239803.572761,20.503839,25.257412,11
576981.662985,11122884.592592593,242369.952898,20.244743,26.923831,12
619284.020486,11036964.518518519,239241.123771,21.007763,26.725327,13
656876.399522,10602833.48275862,244284.090235,21.19803,27.406102,14
699559.69021,11289701.025641026,349442.336336,31.398323,37.335824,15
736484.715357,10388408.344827587,239759.772708,20.540082,27.832537,16
695842.823546,10455110.793103449,296804.260467,21.310091,28.998711,17
659092.291571,10329368.689655172,236656.28384,20.365883,27.539603,18
680554.126024,10607306.916666666,304603.706887,29.072816,35.484559,19
695588.381231,10282010.862068966,234160.710729,21.743966,27.545848,20
719223.724421,10184530.2,328565.102037,21.227185,29.650154,21
741052.655717,11381912.894736841,342969.505479,31.064202,37.923974,22
764732.881066,8527328.514285713,233033.543102,20.775542,34.685966,23
787717.914559,10779763.64864865,314793.319991,28.451187,35.625205,24
750301.964804,11071012.851851853,231924.814772,20.794832,26.800428,25
715366.675166,10525325.48275862,236555.190345,21.286792,28.18966,26
730261.936683,9584907.92682927,348718.325338,28.1609,40.857742,27
743622.664062,9992418.7,230466.276443,20.802282,29.049748,28
762805.678256,10672188.425,408789.761194,38.916657,39.514638,29
783189.500725,8040744.170212766,381280.044569,26.354648,47.564344,30
